personName
Otto Philipp Braun
Chen Tei-fu
Abilio dos Santos Diniz
Marcel Erni
Doris Fisher
Gerald Ford
Bernard Fraisse & family
Alfred Gantner
Paul Gauselmann & family
Mitchell Goldhar
Peter Hargreaves
Xuande Hua & family
Kwek Leng Kee
Catherine Lozick
Kalanithi Maran
Jed McCaleb
Fatih Ozmen
Pan Laican
Tor Peterson
Daniel Pritzker
Jinxing Qi
Qiu Jianping & family
Rajan Raheja & family
Matthias Reinhart
Arnout Schuijff
Hans Sy
Herbert Sy
Lucio Tan
Tsai Ming-kai
Ted Turner
David Walentas
Urs Wietlisbach
Jerry Yang
Yang Jianliang & family
Yang Weidong & family
Mortimer Zuckerman
John Armitage
Lee Bass
John Bicket
Sanjit Biswas
Timothy Boyle
Morris Chang
Chao Teng-hsiung
Samuel Chen
Chu Lam Yiu
K. Dinesh
James Duff
Thomas Duff
Daniel Ek
John Fisher
Georg Haub
Erman Ilicak
Justin Ishbia
Long Jiang
Bruce Karsh
Bom Kim
Jianping Lai
Lam Kong
Stephen Lansdown
Kevin David Lehmann
Li Haiyan
Hua Li
Lim Kok Thay
Kishore Mariwala
Clayton Mathile
Mi Enhua
Vadim Moshkovich
David Murdock
David Nahmad
Lirio Parisotto
Augusto Perfetti
Giorgio Perfetti
Alberto Prada
Marina Prada
Filiz Sahenk
Richard Sands
Stephan Schmidheiny
Alberto Siccardi & family
Stefan Soloviev
Tang Yiu
Tian Ming
T.Y. Tsai
Jayshree Ullal
Georg von Opel
Lang Walker
Xicheng Wang & family
Wang Zhenhua
Paul-Heinz Wesjohann & family
Xie Bingkun & family
Xu Shugen
Christoph Zeller
Zhang Jingzhang & family
George Argyros & family
Brian Armstrong
Albert Avdolyan
Sezai Bacaksiz
Aneel Bhusri
Brett Blundy
J. Hyatt Brown
Chen Jinxia
Chen Xueli
Dermot Desmond
Dong Wei
Tom Ford
Fu Guangming & family
Noam Gottesman
Jeffrey Gundlach
Hao Hong
Shmuel Harlap
Hans-Werner Hector
Lutz Mario Helmig & family
Chulong Huang
Thomas James
James Jannard
Willis Johnson
Lai Shixian
Chris Larsen
Solomon Lew
Liang Xinjun
Harald Link
Max Lytvyn
Igor Makarov
Howard Marks
Charles Munger
Adam Neumann
Thi Phuong Thao Nguyen
Ni Yongpei & family
Heloise Pratt
Qi Xiangdong
Phillip T. (Terry) Ragon
Prathap Reddy
Jerry Reinsdorf
Chad Richison
"Karl Scheufele, III. & family"
Alice Schwartz
Alex Shevchenko
Kavitark Ram Shriram
Jeffrey Soffer
William Stone
Henry Swieca
Harley Sy
Teresita Sy-Coson
Katsumi Tada
Tang Jinkui & family
Tang Xiao'ou
Lottie Tham & family
Shamsheer Vayalil
Radha Vembu
Wang Wenmo
Wang Zhenghua
David Wertheim
Kai Wu
Xu Yingzhuo
Yeung Kin-man
Huijiao Yu
Oren Zeev
Clayton Zekelman
Zhao Fenggang
